image_path,skin_color,lesion,pen,ink,markings,sticker,labels,identification,gel,ointment,cream,dermoscopic border,border,dermoscopic gel bubbles,gel bubbles,reflection or glare,hair strands,fabric fibers,nail,finger,ear,eye,nostril,lip,visible patient clothing,clothing,jewelry,watch,shadow,lighting reflection,lighting
a562d02d7c568fcff808364b4e9adab5,5,0,0.024292504,0.008244456,0.016121214,0.008022963,0.33029985,0.53919965,0.117171764,0.7017565,0.48129606,0.014321472,0.22455847,0.03453384,0.0722427,0.060599077,0.06935806,0.00059395673,0.0022751566,0.017551215,0.48944104,0.12464228,0.036290653,0.10402266,0.22026283,0.44141325,0.8416815,0.36192942,0.12515903,0.07523035,0.3830768
1b5084463501e9aa4d58856078f125e8,4,1,0.22910504,0.029350186,0.563492,0.00843736,0.19643839,0.692771,0.05993633,0.48302868,0.45718488,0.017173959,0.29475662,0.00708499,0.019349925,0.43416977,0.6827881,0.067600064,0.009759216,0.07808971,0.8746913,0.41639495,0.12851347,0.13025752,0.7680931,0.28313228,0.20583872,0.3569274,0.62522733,0.6911153,0.7880328
b0a513787e3c28076c3c197342be5ffa,3,1,0.66035575,0.35774222,0.61916775,0.08224418,0.17126638,0.21520281,0.17687035,0.56581837,0.55965704,0.021536812,0.51128083,0.0005731629,0.0031300467,0.08262246,0.029218277,0.053731292,0.25177798,0.7711198,0.06373476,0.22307736,0.006292023,0.36018643,0.26994494,0.50744903,0.098194815,0.5427754,0.3916634,0.1732413,0.35549375
3791b30f96733f69b473c8d2fcf3998b,2,1,0.6039185,0.79947567,0.57957447,0.34223506,0.42834267,0.18132608,0.036910843,0.20485346,0.2386775,0.003222256,0.40170488,0.00020238449,0.002812938,0.070157856,0.0034653998,0.0008322321,0.013289072,0.15414397,0.0076573063,0.15951714,0.0011815057,0.13322851,0.013594706,0.12155511,0.1823733,0.6351852,0.67133474,0.028890261,0.1739186
45119bcf9dab198dfdfa04b14736c240,2,1,0.2708857,0.057945658,0.40969047,0.03455282,0.18979342,0.601739,0.26682088,0.4274051,0.44267786,0.08950931,0.41880068,0.118635535,0.150531,0.18803658,0.06199496,0.07237135,0.19834131,0.15471701,0.9232343,0.555018,0.99580365,0.6361913,0.0662726,0.113256715,0.5786223,0.2520114,0.059107315,0.4031763,0.5339474
558b6378ac18ecc0c35d6b33e073d1d2,4,1,0.02178703,0.041298643,0.018978782,0.0011324997,0.27640754,0.19370063,0.022349333,0.3958392,0.3305703,0.0026779186,0.14224559,0.00084511307,0.0041752052,0.13929196,0.11148722,0.017306322,0.0010426526,0.01480227,0.38058603,0.04594614,0.002089576,0.037417676,0.037336376,0.31206998,0.77849835,0.2640662,0.08106763,0.2205232,0.74263483
19883466fd06fc2633e25ba5f0321824,4,0,0.48092914,0.3829043,0.4975352,0.053970482,0.07363817,0.54998046,0.08608538,0.18516792,0.29683882,0.025040237,0.52199584,0.005588652,0.02293502,0.07633265,0.015634855,0.0028689103,0.022981562,0.03235318,0.03874664,0.11946819,0.012082648,0.18546546,0.015910737,0.1630141,0.28011864,0.24960786,0.09565341,0.032003306,0.22163261
57885e3f5a3c043c3621a06bca196282,2,0,0.35564578,0.7388137,0.33315003,0.07767229,0.5341317,0.45745507,0.0043196585,0.08972511,0.17228602,0.055139136,0.26931903,0.010179558,0.004024232,0.015314177,0.02469148,0.0028734596,0.017566869,0.00912258,0.04599963,0.12559325,0.015875136,0.0050680568,0.01755477,0.40685168,0.31977978,0.3035983,0.13941623,0.008277672,0.10190865
c69b810bbe5c2eb7785daa9af3f2b5f8,5,1,0.073926724,0.03884177,0.16559534,0.0077129006,0.14968076,0.33090237,0.045542676,0.2849309,0.45882657,0.02836717,0.24823666,0.004592414,0.0024421185,0.13604277,0.01302914,0.0015615891,0.004487789,0.12157319,0.09551012,0.16845886,0.1068159,0.29084906,0.25706893,0.34615824,0.14684142,0.4263308,0.275914,0.18489219,0.4625872
9071aa339d3fe202cd0fd9a9ae1de1e7,1,1,0.09241125,0.25485143,0.0745692,0.76091546,0.2352949,0.45682037,0.8660472,0.30843845,0.35847113,0.018043768,0.21177943,0.06932001,0.5676066,0.07007731,0.004992965,0.012600618,0.45954463,0.26319543,0.02483415,0.06805984,0.0051170276,0.115970425,0.014816552,0.104814984,0.2546934,0.22861929,0.010738923,0.05305459,0.21244176
556bb0b2109488c07f8935831b88017d,2,0,0.1435992,0.0021299191,0.34518588,0.07265422,0.0352003,0.3945922,0.030659951,0.12636332,0.16865595,0.0066806637,0.24359305,0.00041445077,0.0016420601,0.36852404,0.011222222,0.00013820194,0.0025108778,0.01762086,0.5829384,0.4463314,0.23253499,0.39269957,0.1833365,0.020259429,0.02351319,0.24653085,0.30861512,0.20833904,0.2345572
1035f09922e702b21f1650279ff4a0ab,5,0,0.17600727,0.02879485,0.1567534,0.13712557,0.09100061,0.41178164,0.21481764,0.6008521,0.75052863,0.04204916,0.48372057,0.010252268,0.028322393,0.14979756,0.010011889,9.955912e-05,0.07955953,0.2965102,0.50470597,0.71634436,0.6868479,0.7288235,0.08011293,0.34643888,0.51344913,0.49308172,0.10431401,0.16605748,0.52582103
